Date,Close,Open,High,Low,Change
10/21/2021,4054.16,4160.51,4366.91,4029.48,decrease
10/20/2021,4159.89,3876.76,4168.12,3830.26,increase
10/19/2021,3876.78,3745.46,3884.34,3733.78,increase
10/18/2021,3747.6,3848.64,3892.01,3685.82,decrease
10/17/2021,3845.47,3827.55,3917.56,3664.63,increase
10/16/2021,3827.55,3869.05,3967.43,3804.55,decrease
10/15/2021,3866.9,3790.34,3904.91,3735.21,increase
10/14/2021,3790.41,3607.36,3820.47,3588.24,increase
10/13/2021,3607.28,3491.08,3612.04,3416,increase
10/12/2021,3489.9,3541.49,3545.35,3404.49,decrease
10/11/2021,3545.06,3414.93,3622.53,3381.43,increase
10/10/2021,3415.03,3574.52,3599.18,3409.22,decrease
10/9/2021,3574.2,3559.96,3626.11,3541.4,increase
10/8/2021,3559.42,3586.91,3668.35,3537.24,decrease
10/7/2021,3586,3575.43,3650.18,3473.47,increase
10/6/2021,3575.41,3515.35,3627.19,3345.56,increase
10/5/2021,3517.26,3383.32,3540.83,3365.28,increase
10/4/2021,3382.9,3417.26,3436.34,3273.22,decrease
10/3/2021,3417.34,3388.83,3485.48,3346.63,increase
10/2/2021,3388.97,3309.14,3467.95,3265.97,increase
10/1/2021,3309.13,2999.86,3329.32,2972.75,increase
9/30/2021,3000.59,2851.06,3047.08,2837.68,increase
9/29/2021,2851.5,2807.15,2948.5,2784.66,increase
9/28/2021,2807.28,2926.04,2969.18,2791.42,decrease
9/27/2021,2926.24,3061.86,3163.86,2926.24,decrease
9/26/2021,3063.51,2922.47,3113.65,2740.12,increase
9/25/2021,2922.55,2928.59,2965.48,2812.7,decrease
9/24/2021,2928.57,3152.92,3158.38,2740.06,decrease
9/23/2021,3152.92,3077.8,3173,3035.96,increase
9/22/2021,3077.78,2764.71,3087.97,2740.58,increase
9/21/2021,2761.52,2976.7,3101.88,2659.71,decrease
9/20/2021,2976.05,3328.49,3344.04,2931.64,decrease
9/19/2021,3329.12,3435.92,3455.67,3282.85,decrease
9/18/2021,3435.97,3398.55,3539.5,3371.33,increase
9/17/2021,3398.65,3569.92,3592.2,3352.32,decrease
9/16/2021,3569.43,3612.23,3672.68,3488.53,decrease
9/15/2021,3611.9,3430.36,3612.29,3361.63,increase
9/14/2021,3428.87,3284.65,3428.87,3270.91,increase
9/13/2021,3284.52,3408.17,3429.24,3118.66,decrease
9/12/2021,3408.28,3267.33,3469.5,3231.87,increase
9/11/2021,3267.33,3209.37,3345.37,3202.41,increase
9/10/2021,3207.27,3423.87,3512.9,3156.28,decrease
9/9/2021,3423.51,3498.92,3564.3,3395.94,decrease
9/8/2021,3495.1,3424.35,3557.67,3221.6,increase
9/7/2021,3423.12,3926.84,3945.79,3061.3,decrease
9/6/2021,3927.21,3950.2,3968.2,3867.55,decrease
9/5/2021,3950.62,3885.4,3981.22,3834.74,increase
9/4/2021,3884.97,3938.45,3968.33,3844.07,decrease
9/3/2021,3936.29,3785.85,4024.89,3715.97,increase
9/2/2021,3786.19,3826.9,3833.89,3723.42,decrease
9/1/2021,3832.73,3429.65,3839.91,3384.82,increase
8/31/2021,3430.74,3228.23,3467.42,3191.34,increase
8/30/2021,3225.67,3222.43,3345.72,3145.53,increase
8/29/2021,3222.16,3243.96,3282.21,3155.31,decrease
8/28/2021,3243.9,3273.78,3284.58,3212.24,decrease
8/27/2021,3273.58,3093.78,3279.93,3063.37,increase
8/26/2021,3093.54,3228.03,3249.62,3057.48,decrease
8/25/2021,3228.15,3172.12,3247.43,3080.7,increase
8/24/2021,3173.26,3322.6,3357.99,3150.75,decrease
8/23/2021,3319.49,3238.41,3375.42,3231.96,increase
8/22/2021,3238.7,3224.17,3271.94,3128.98,increase
8/21/2021,3223.96,3285.12,3307.33,3200.19,decrease
8/20/2021,3284.21,3184.83,3300.36,3179.18,increase
8/19/2021,3184.82,3016.92,3185.51,2962.04,increase
8/18/2021,3016.91,3012.62,3124.51,2951.04,increase
8/17/2021,3014.58,3147.67,3290.03,2993.63,decrease
8/16/2021,3147.65,3307.96,3334.22,3138.37,decrease
8/15/2021,3308.87,3264.56,3318.61,3115.34,increase
8/14/2021,3264.69,3322.25,3328.38,3209.45,decrease
8/13/2021,3322.43,3043.2,3324.53,3035.52,increase
8/12/2021,3043.61,3160.17,3236.28,2981.35,decrease
8/11/2021,3163.66,3140.86,3269.7,3122.67,increase
8/10/2021,3140.71,3162.81,3232.02,3057.84,decrease
8/9/2021,3162.93,3011.88,3184.84,2899.24,increase
8/8/2021,3012.07,3158.3,3188.49,2949.66,decrease
8/7/2021,3158,2889.58,3169.74,2867.58,increase
8/6/2021,2889.43,2827.23,2946.62,2726.04,increase
8/5/2021,2827.21,2725.28,2842.95,2533.51,increase
8/4/2021,2725.29,2506.5,2766.46,2462.32,increase
8/3/2021,2506.65,2608.01,2631.43,2445.49,decrease
8/2/2021,2608.04,2556.07,2664.73,2513.51,increase
8/1/2021,2556.23,2530.94,2696.38,2515.26,increase
7/31/2021,2532.19,2461.08,2551.68,2421.7,increase
7/30/2021,2460.95,2380.59,2467.4,2320.8,increase
7/29/2021,2380.93,2299.46,2397.71,2269.15,increase
7/28/2021,2299.11,2300.21,2343.49,2246.23,decrease
7/27/2021,2300.22,2230.24,2318.68,2152.92,increase
7/26/2021,2229.53,2189.74,2430.01,2174.44,increase
7/25/2021,2189.79,2166.98,2195.03,2108.74,increase
7/24/2021,2151.85,2124,2162.29,2106.71,increase
7/23/2021,2123.61,2024.51,2129.66,2000.27,increase
7/22/2021,2024.58,1994.61,2043.26,1952.31,increase
7/21/2021,1994.49,1786.18,2029.51,1758.64,increase
7/20/2021,1786.07,1818.07,1840.36,1720.7,decrease
7/19/2021,1818.07,1891.43,1915.15,1807.19,decrease
7/18/2021,1892.42,1898.01,1988.24,1881.6,decrease
7/17/2021,1897.98,1877,1917.8,1851.97,increase
7/16/2021,1878.2,1917.21,1960.21,1852.42,decrease
7/15/2021,1917.21,1994.73,2038.91,1884.81,decrease
7/14/2021,1994.64,1940.48,2017.99,1868.45,increase
7/13/2021,1940.72,2035.09,2042.61,1920.62,decrease
7/12/2021,2035.09,2139.44,2167.6,2008.66,decrease
7/11/2021,2139.35,2110.9,2173.34,2081.62,increase
7/10/2021,2111.12,2146.15,2191.3,2078.43,decrease
7/9/2021,2145.89,2120.05,2185.62,2066.09,increase
7/8/2021,2120.22,2316.21,2322.47,2095.92,decrease
7/7/2021,2316.57,2322.74,2402.68,2296.43,decrease
7/6/2021,2322.72,2196.25,2347.47,2194.2,increase
7/5/2021,2196.16,2322.6,2322.6,2163.09,decrease
7/4/2021,2323.22,2224.7,2386.2,2222.95,increase
7/3/2021,2224.7,2154.53,2236.97,2115.8,increase
7/2/2021,2154.78,2108.58,2158.7,2019.75,increase
7/1/2021,2109.11,2274.5,2274.63,2077.56,decrease
6/30/2021,2273.84,2158.32,2281.55,2090.61,increase
6/29/2021,2158.71,2083.48,2241.86,2076.17,increase
6/28/2021,2083.09,1981.24,2142.84,1962.89,increase
6/27/2021,1979.88,1830.42,1980.7,1808.59,increase
6/26/2021,1830.62,1810.53,1850.4,1719.32,increase
6/25/2021,1810.57,1989.77,2017.47,1793.47,decrease
6/24/2021,1989.14,1968.76,2033.96,1886.74,increase
6/23/2021,1968.39,1877.28,2043.1,1823.57,increase
6/22/2021,1876.66,1890.95,1994.32,1707.24,decrease
6/21/2021,1891.18,2244.25,2257.86,1868.32,decrease
6/20/2021,2243.86,2166.3,2276.83,2045.03,increase
6/19/2021,2166.91,2229.53,2276.7,2164.14,decrease
6/18/2021,2229.53,2372.1,2376.62,2142.74,decrease
6/17/2021,2371.62,2367.78,2459.11,2309.08,increase
6/16/2021,2367.28,2544.35,2552.12,2353.24,decrease
6/15/2021,2543.83,2581.42,2637.9,2512.39,decrease
6/14/2021,2581.48,2508.49,2606.91,2467.61,increase
6/13/2021,2508.27,2368.68,2547.9,2311.96,increase
6/12/2021,2368.47,2351.45,2448.04,2260.8,increase
6/11/2021,2351.45,2470.04,2493.48,2324.21,decrease
6/10/2021,2469.97,2607.45,2615.46,2432.41,decrease
6/9/2021,2606.23,2507.86,2620.74,2408.37,increase
6/8/2021,2510.65,2592.12,2618.7,2320.64,decrease
6/7/2021,2592.63,2713.52,2842.88,2581.24,decrease
6/6/2021,2713.66,2628.43,2743.53,2614.48,increase
6/5/2021,2628.98,2688.75,2814.02,2555.98,decrease
6/4/2021,2686.5,2856.63,2856.63,2557.71,decrease
6/3/2021,2853.35,2705.05,2889.19,2666.39,increase
6/2/2021,2706.1,2633.74,2801,2554.88,increase
6/1/2021,2633.67,2707.94,2738.23,2529.73,decrease
5/31/2021,2708.47,2386.93,2713.98,2279.42,increase
5/30/2021,2386.1,2276.97,2465.84,2181.93,increase
5/29/2021,2276.07,2411.68,2567.42,2207.21,decrease
5/28/2021,2414.29,2742.39,2760.17,2332.43,decrease
5/27/2021,2735.88,2885.02,2885.87,2638.62,decrease
5/26/2021,2884.66,2705.69,2908.37,2648.1,increase
5/25/2021,2705.09,2647.27,2747.49,2388.81,increase
5/24/2021,2646.79,2101.3,2667.2,2080.87,increase
5/23/2021,2101.34,2292.68,2379.89,1739.91,decrease
5/22/2021,2291.6,2433.09,2481.06,2162.84,decrease
5/21/2021,2433.11,2766.88,2931.66,2111.42,decrease
5/20/2021,2777.55,2436.59,2988.52,2163.4,increase
5/19/2021,2435.69,3376.22,3434.01,1922.25,decrease
5/18/2021,3377.55,3280.5,3558.57,3244.93,increase
5/17/2021,3279.68,3582.19,3582.27,3130.12,decrease
5/16/2021,3582.12,3643.67,3877.2,3351.92,decrease
5/15/2021,3641.65,4074.57,4129.99,3639.12,decrease
5/14/2021,4075.38,3719.46,4171.76,3694.54,increase
5/13/2021,3719.62,3807.5,4031.99,3539.96,decrease
5/12/2021,3811.77,4173.61,4366.1,3794.15,decrease
5/11/2021,4167.78,3948.66,4177.53,3781.86,increase
5/10/2021,3947.9,3923.48,4203.98,3669.84,increase
5/9/2021,3922.23,3905.69,3979.77,3734.44,increase
5/8/2021,3905.55,3479.81,3952.88,3453.37,increase
5/7/2021,3481.22,3490.83,3583.34,3363.56,decrease
5/6/2021,3489.52,3522.74,3601.59,3380.6,decrease
5/5/2021,3522.76,3284.31,3540.78,3228.86,increase
5/4/2021,3286.71,3429.48,3516.34,3188.9,decrease
5/3/2021,3429.37,2950.07,3451.44,2950.07,increase
5/2/2021,2950.33,2945.04,2984.52,2854.12,increase
5/1/2021,2944.66,2772.27,2951.74,2753.6,increase
4/30/2021,2772.78,2757.02,2797.61,2726.03,increase
4/29/2021,2757.36,2746.51,2797.52,2670.35,increase
4/28/2021,2746.54,2665.83,2759.03,2562.74,increase
4/27/2021,2665.24,2531.07,2677.95,2484.44,increase
4/26/2021,2533.12,2320.63,2539.8,2305.97,increase
4/25/2021,2316.48,2217.23,2355.2,2169.91,increase
4/24/2021,2215.93,2367.35,2367.46,2159.6,decrease
4/23/2021,2367.31,2398.95,2440.21,2119.26,decrease
4/22/2021,2401.1,2360.32,2642.99,2313.46,increase
4/21/2021,2360.81,2331.84,2467.51,2238.15,increase
4/20/2021,2332.14,2161.06,2345.18,2058,increase
4/19/2021,2160.63,2236.1,2275.87,2081.3,decrease
4/18/2021,2237.17,2317.88,2338.53,1948.93,decrease
4/17/2021,2318.33,2424.12,2493.93,2314.12,decrease
4/16/2021,2423.18,2514.55,2544.54,2302.3,decrease
4/15/2021,2514.22,2432.9,2541.9,2402.75,increase
4/14/2021,2431.56,2299.25,2445.4,2281.49,increase
4/13/2021,2299.93,2137.55,2315.47,2136.49,increase
4/12/2021,2137.81,2150.79,2199.52,2103.73,decrease
4/11/2021,2151.42,2133.89,2164.76,2114.55,increase
4/10/2021,2133.79,2067.26,2197.73,2058.23,increase
4/9/2021,2066.93,2080.2,2101.07,2050.39,decrease
4/8/2021,2079.92,1962.44,2084.08,1951.83,increase
4/7/2021,1961.46,2112.41,2128.25,1939.64,decrease
4/6/2021,2111.53,2108.81,2150.78,2047.48,increase
4/5/2021,2106.41,2076.14,2127.89,2004.05,increase
4/4/2021,2075.94,2007.82,2091.31,1982,increase
4/3/2021,2008.59,2134.66,2137.68,2004.4,decrease
4/2/2021,2134.55,1968.12,2144.11,1949.99,increase
4/1/2021,1967.96,1918.82,1983.84,1897.38,increase
3/31/2021,1917.99,1841.01,1945.4,1774.66,increase
3/30/2021,1841.01,1816.92,1857.65,1788.6,increase
3/29/2021,1816.69,1686.88,1839.41,1678.38,increase
3/28/2021,1686.8,1712.89,1724.74,1661.92,decrease
3/27/2021,1713.01,1698.68,1731.73,1667.12,increase
3/26/2021,1698.6,1586.36,1699.27,1586.28,increase
3/25/2021,1586.54,1582.23,1621.32,1550.11,increase
3/24/2021,1582.38,1668.42,1739.82,1546.48,decrease
3/23/2021,1667.9,1681.5,1720.01,1654.14,decrease
3/22/2021,1682.37,1783.58,1806.62,1659.28,decrease
3/21/2021,1783.72,1804.6,1815.85,1748.47,decrease
3/20/2021,1804.6,1809.09,1868.09,1801.6,decrease
3/19/2021,1809.64,1775.87,1848.88,1735.42,increase
3/18/2021,1776.08,1823.72,1849.23,1760.83,decrease
3/17/2021,1823.35,1804.56,1837.88,1743.62,increase
3/16/2021,1804.85,1792.08,1817.35,1715.97,increase
3/15/2021,1792.38,1848.18,1890.59,1745.04,decrease
3/14/2021,1849.06,1921.29,1932.36,1836.78,decrease
3/13/2021,1921.13,1767.05,1943.36,1730.46,increase
3/12/2021,1766.9,1827.44,1841.19,1723.18,decrease
3/11/2021,1825.79,1794.28,1845.32,1729.05,increase
3/10/2021,1794.14,1869.32,1875.98,1759.5,decrease
3/9/2021,1869.1,1831.57,1869.1,1801.29,increase
3/8/2021,1831.49,1727.17,1841.05,1665.54,increase
3/7/2021,1728.1,1650.94,1732.84,1634.73,increase
3/6/2021,1649.19,1530.24,1670.01,1514.62,increase
3/5/2021,1530.29,1539.73,1548.71,1443.32,decrease
3/4/2021,1538.61,1567.84,1623.73,1506.86,decrease
3/3/2021,1571.05,1488.8,1653.04,1477.72,increase
3/2/2021,1488.62,1570,1602.13,1457.22,decrease
3/1/2021,1570.03,1418.91,1571.15,1411.55,increase
2/28/2021,1418.76,1458.84,1467.76,1294.79,decrease
2/27/2021,1458.93,1445.69,1527.69,1427.15,increase
2/26/2021,1445.44,1476.77,1561.66,1403.3,decrease
2/25/2021,1476.15,1623.76,1669.24,1460.92,decrease
2/24/2021,1623.71,1578.27,1711.16,1505.79,increase
2/23/2021,1578.11,1777.25,1781.44,1370.45,decrease
2/22/2021,1777.28,1933.52,1935.04,1561.68,decrease
2/21/2021,1933.45,1912.97,1974.99,1885.7,increase
2/20/2021,1913.88,1955.54,2040.79,1800,decrease
2/19/2021,1955.59,1934.17,1968.93,1892.7,increase
2/18/2021,1934.16,1849.95,1950.04,1849.05,increase
2/17/2021,1847.95,1781.44,1854.03,1734.15,increase
2/16/2021,1781.69,1778.63,1827.07,1726.78,increase
2/15/2021,1778.82,1800.6,1835.51,1661.09,decrease
2/14/2021,1801.78,1815.44,1850,1787.11,decrease
2/13/2021,1815.49,1840.9,1871.36,1766.05,decrease
2/12/2021,1841.02,1786.74,1862.17,1741.04,increase
2/11/2021,1786.35,1742.11,1817.68,1704.97,increase
2/10/2021,1742.09,1770.81,1835.4,1683.52,decrease
2/9/2021,1770.63,1750.19,1818.94,1711.4,increase
2/8/2021,1750.18,1612.98,1775.12,1566.43,increase
2/7/2021,1612.99,1676.62,1692.29,1491.68,decrease
2/6/2021,1676.63,1719.11,1742.9,1648.03,decrease
2/5/2021,1719.2,1593.91,1760.09,1589.28,increase
2/4/2021,1594,1664.19,1693.64,1570.45,decrease
2/3/2021,1664.34,1511.96,1667.93,1510.27,increase
2/2/2021,1511.36,1373.31,1546.88,1361.63,increase
2/1/2021,1373.4,1312.69,1376.44,1272.09,increase
1/31/2021,1312.73,1377.05,1380.04,1282.41,decrease
1/30/2021,1376.96,1379.78,1405.78,1327.66,decrease
1/29/2021,1379.3,1329.16,1436.27,1288.26,increase
1/28/2021,1328.47,1247.67,1359.51,1221.15,increase
1/27/2021,1247.62,1366.14,1372.31,1210.4,decrease
1/26/2021,1366.27,1317.67,1377.94,1246.45,increase
1/25/2021,1317.9,1390.69,1474.68,1298.13,decrease
1/24/2021,1390.28,1233.41,1398,1222.14,increase
1/23/2021,1233.4,1234.34,1271.65,1196.94,decrease
1/22/2021,1234.58,1118.01,1272.85,1045.02,increase
1/21/2021,1117.33,1377.63,1387.39,1095.26,decrease
1/20/2021,1377.53,1372,1406.56,1237.27,increase
1/19/2021,1372,1258.1,1437.42,1252.36,increase
1/18/2021,1258.06,1233.93,1260.3,1184.15,increase
1/17/2021,1232.64,1228.33,1269.01,1168.39,increase
1/16/2021,1228.27,1172.12,1290.92,1154.04,increase
1/15/2021,1171.68,1233.34,1256.13,1079.19,decrease
1/14/2021,1226.17,1128.8,1246.52,1088.52,increase
1/13/2021,1128.46,1050.2,1134.66,990.96,increase
1/12/2021,1050.19,1086.96,1149.19,1008.28,decrease
1/11/2021,1091.47,1255.84,1257.3,917.96,decrease
1/10/2021,1256.04,1275.87,1347.98,1180.45,decrease
1/9/2021,1275.58,1215.92,1301.75,1172.39,increase
1/8/2021,1215.73,1224.33,1271.08,1069.25,decrease
1/7/2021,1224.35,1208.71,1286.81,1153.09,increase
1/6/2021,1207.77,1099.77,1210.78,1060.67,increase
1/5/2021,1099.52,1042.48,1131.56,976.91,increase
1/4/2021,1042.4,977.76,1158.27,894.24,increase
1/3/2021,974.97,774.54,1008.49,769.57,increase
1/2/2021,774.5,729,787.26,715.15,increase
1/1/2021,729.12,735.87,748.96,715.74,decrease
12/31/2020,735.94,751.92,755.13,724.67,decrease
12/30/2020,751.8,732.04,757.11,720.21,increase
12/29/2020,731.76,730.26,739.77,690.24,increase
12/28/2020,730.05,683.76,747.86,682.47,increase
12/27/2020,683.71,636.35,715.46,627.12,increase
12/26/2020,636.58,626.99,652.36,616.04,increase
12/25/2020,626.93,612.38,633.9,605.01,increase
12/24/2020,612.34,585.47,614.92,566.15,increase
12/23/2020,585.69,637.04,638.11,554.09,decrease
12/22/2020,637.47,607.86,637.47,588.24,increase
12/21/2020,607.85,638.28,647.87,599.97,decrease
12/20/2020,638.26,657.79,661.04,622.39,decrease
12/19/2020,658.17,654.08,669.54,645.91,increase
12/18/2020,653.85,643.28,664.26,630.44,increase
12/17/2020,643.17,637.29,675.68,627.36,increase
12/16/2020,637.38,588.81,638.18,580.9,increase
12/15/2020,588.91,586.22,596.97,579.95,increase
12/14/2020,586.19,590.66,591.41,576.01,decrease
12/13/2020,591.09,568.07,594.83,563.37,increase
12/12/2020,567.78,544.16,573.59,543.9,increase
12/11/2020,544.17,558.15,560.28,536.43,decrease
12/10/2020,558.13,573.28,575.56,548.99,decrease
12/9/2020,573.21,554.95,577.94,530.88,increase
12/8/2020,555.05,591.03,594.78,551.08,decrease
12/7/2020,591.09,601.54,603.06,584.53,decrease
12/6/2020,601.68,596.61,606.9,583.67,increase
12/5/2020,596.68,567.84,596.73,561.24,increase
12/4/2020,567.91,616.33,619.61,566.34,decrease
12/3/2020,616.32,597.94,622.1,587.15,increase
12/2/2020,598.05,585.69,604.34,575.24,increase
12/1/2020,585.66,616.78,635.66,567.79,decrease
11/30/2020,615.92,575.35,615.97,571.04,increase
11/29/2020,575.45,537.89,576.52,530.71,increase
11/28/2020,537.74,518.7,547.94,506.97,increase
11/27/2020,518.11,519.69,530.41,494.65,decrease
11/26/2020,519.32,569.69,577.08,484.03,decrease
11/25/2020,569.67,605.01,605.63,555.32,decrease
11/24/2020,605.03,609.2,621.7,589.56,decrease
11/23/2020,609.22,559.37,610.33,551.8,increase
11/22/2020,559.4,551.9,580,514.44,increase
11/21/2020,551.91,509.94,552.13,505.14,increase
11/20/2020,509.98,471.27,513.06,471.06,increase
11/19/2020,471.21,478.55,480.55,465.41,decrease
11/18/2020,478.52,482.05,495.04,459.92,decrease
11/17/2020,481.95,460.37,484.59,459.74,increase
11/16/2020,460.43,448.18,465.97,445.82,increase
11/15/2020,448.23,460.75,462.93,440.44,decrease
11/14/2020,460.7,476.38,477.34,452.6,decrease
11/13/2020,476.29,462.61,477.78,457.65,increase
11/12/2020,462.56,463.33,469.57,452.44,decrease
11/11/2020,463.33,450.26,476.08,449.51,increase
11/10/2020,450.22,444.38,454.43,439.5,increase
11/9/2020,444.33,454.55,458.51,434.95,decrease
11/8/2020,454.68,435.39,460.09,432.44,increase
11/7/2020,435.4,455.78,467.88,425.57,decrease
11/6/2020,455.72,416.59,457.79,415.08,increase
11/5/2020,416.63,402.5,419.94,396.46,increase
11/4/2020,402.19,388.23,407.9,377.22,increase
11/3/2020,387.92,383.64,389.98,370.96,increase
11/2/2020,383.53,396.45,404.04,379.13,decrease
11/1/2020,396.29,386.36,397.32,384.94,increase
10/31/2020,386.42,382.81,394.01,380.53,increase
10/30/2020,382.41,387.16,391.98,374.36,decrease
10/29/2020,386.76,388.25,393.33,381.53,decrease
10/28/2020,388.14,403.11,408.1,381.51,decrease
10/27/2020,403.15,393.93,409.85,390.92,increase
10/26/2020,394.11,406.45,410.41,383.21,decrease
10/25/2020,406.09,412.44,417.07,403.95,decrease
10/24/2020,411.92,408.59,416.28,407.74,increase
10/23/2020,408.52,414.12,419.11,402.91,decrease
10/22/2020,414.05,391.39,420.12,391.21,increase
10/21/2020,391.2,368.53,400.36,368.06,increase
10/20/2020,368.35,379.03,380.14,367.16,decrease
10/19/2020,379.19,377.85,383.97,372.72,increase
10/18/2020,377.81,368.61,378.49,367.54,increase
10/17/2020,368.63,365.08,369.94,363.18,increase
10/16/2020,365.17,377.6,379.6,362.65,decrease
10/15/2020,377.45,378.96,380.77,370.39,decrease
10/14/2020,379.15,381.13,387.11,373.62,decrease
10/13/2020,381.23,386.64,387.06,374.57,decrease
10/12/2020,386.68,374.39,394.58,366.05,increase
10/11/2020,374.19,370.28,377.27,369.23,increase
10/10/2020,370.16,365.25,377.97,364.57,increase
10/9/2020,365.28,350.71,368.19,347.82,increase
10/8/2020,350.83,341.66,352.95,334.79,increase
10/7/2020,341.48,340.59,342.68,334.11,increase
10/6/2020,340.61,353.53,354.9,337.21,decrease
10/5/2020,353.28,352.69,354.86,348.76,increase
10/4/2020,352.73,345.6,353.97,344.03,increase
10/3/2020,345.6,345.78,351.04,343.74,decrease
10/2/2020,345.68,353.06,353.61,335.91,decrease
10/1/2020,353.07,359.5,369.1,345.66,decrease
9/30/2020,359.39,359.77,360.94,352.81,decrease
9/29/2020,359.86,353.97,360.66,351.48,increase
9/28/2020,354.08,357.42,367.63,352.57,decrease
9/27/2020,357.23,354.26,362,347.51,increase
9/26/2020,354.25,351.62,355.87,346.95,increase
9/25/2020,351.63,349.13,357.8,338.01,increase
9/24/2020,349.17,319.97,352.6,317.27,increase
9/23/2020,319.95,343.96,344.12,315.54,decrease
9/22/2020,344.03,341.32,346.19,336.15,increase
9/21/2020,341.3,371.09,375.34,331.41,decrease
9/20/2020,371.12,385.33,385.39,365.48,decrease
9/19/2020,385.25,384.25,386.99,377.63,increase
9/18/2020,384.2,389.37,392.21,375.81,decrease
9/17/2020,388.97,364.75,393.96,363.54,increase
9/16/2020,364.88,363.91,372.88,355.18,increase
9/15/2020,364.01,376.7,381.67,362.4,decrease
9/14/2020,376.7,365.89,383.99,357.54,increase
9/13/2020,365.71,388.06,389.51,353.85,decrease
9/12/2020,387.98,373.74,388.12,366.05,increase
9/11/2020,373.72,367.89,374.41,356.38,increase
9/10/2020,367.92,351.1,376.92,350.86,increase
9/9/2020,351.1,337.46,358.33,331.12,increase
9/8/2020,337.46,352.06,355.69,326.66,decrease
9/7/2020,352.06,353.49,357.33,325.47,decrease
9/6/2020,353.49,334.91,358.09,316.69,increase
9/5/2020,334.91,385.94,394.12,314.13,decrease
9/4/2020,385.94,381.97,399.58,368.22,increase
9/3/2020,381.97,439.14,466.4,376.99,decrease
9/2/2020,439.08,475.72,480.96,423.26,decrease
9/1/2020,475.8,433.89,488.24,429.65,increase
8/31/2020,433.9,428.81,438.71,418.35,increase
8/30/2020,428.86,398.8,429.59,398.47,increase
8/29/2020,398.8,395.32,405.53,391.97,increase
8/28/2020,395.11,383.16,397.64,379.8,increase
8/27/2020,383.11,385.96,396.48,372.53,decrease
